human	occupation
352	15980158
352	24229398
353	48352
353	82955
353	294414
353	327055
353	372436
353	702269
353	1097498
353	1251441
353	4164871
353	24229398
354	41583
354	628099
354	937857
354	1104185
354	2066131
354	4197743
354	18536342
354	24229398
354	50995749
360	901
360	28640
360	36180
360	43845
360	81096
360	82594
360	131524
360	183888
360	192581
360	327055
360	482980
360	483501
360	578109
360	702269
360	978044
360	1162163
360	1251441
360	1572123
360	1650915
360	1709010
360	1930187
360	2059704
360	2462658
360	2500638
360	2961975
360	3282637
360	3455803
360	5157565
360	5482740
360	6958747
360	13235160
360	15253558
360	15980804
360	20826540
360	24229398
360	25713832
368	28640
368	47064
368	82955
368	189290
368	192581
368	327055
368	702269
368	703534
368	1250916
368	1414937
368	4164871
368	6958747
368	24229398
368	61022630
377	28389
377	28640
377	36180
377	49757
377	82955
377	192581
377	214917
377	327055
377	333634
377	482980
377	483501
377	702269
377	1642960
377	1650915
377	1790480
377	1930187
377	2500638
377	6051619
377	6958747
377	14467526
377	15980804
377	16727193
377	20826540
377	24229398
377	30102337
379	937857
379	2066131
379	4197743
379	18536342
379	24229398
379	50995749
392	28389
392	33999
392	36180
392	36834
392	43845
392	49757
392	130857
392	131524
392	177220
392	183945
392	211236
392	327055
392	482980
392	483501
392	639669
392	702269
392	753110
392	822146
392	855091
392	864380
392	978044
392	1028181
392	1251441
392	1278335
392	1885941
392	2462658
392	2500638
392	2526255
392	2643890
392	2722764
392	3391743
392	3455803
392	5322166
392	10800557
392	13235160
392	13590141
392	15980158
392	15980804
392	16961937
392	18814623
392	24229398
392	25713832
400	33999
400	36180
400	43845
400	131524
400	327055
400	482980
400	483501
400	488111
400	702269
400	713200
400	852857
400	864380
400	978044
400	1251441
400	1630100
400	2405480
400	2462658
400	2500638
400	2526255
400	3282637
400	3286043
400	3455803
400	4610556
400	5716684
400	10800557
400	13235160
400	15980158
400	15980804
400	18814623
400	24229398
400	25713832
400	27943370
407	33999
407	36180
407	327055
407	482980
407	483501
407	488111
407	702269
407	852857
407	864380
407	2500638
407	10800557
407	11499147
407	15253558
407	15980158
407	18814623
407	24229398
407	34074720
409	36834
409	177220
409	327055
409	482980
409	483501
409	488205
409	639669
409	702269
409	753110
409	855091
409	1278335
409	2500638
409	2643890
409	24229398
410	901
410	11063
410	18805
410	28389
410	28640
410	36180
410	37226
410	43845
410	169470
410	192581
410	211236
410	327055
410	482980
410	483501
410	702269
410	752129
410	947873
410	974144
410	1622272
410	1650915
410	1885941
410	2500638
410	3400985
410	4359236
410	5428874
410	6625963
410	6958747
410	13590141
410	15980158
410	15980804
410	16961937
410	18844224
410	20826540
410	24229398
410	28225718
410	44508716
410	94498772
440	39631
440	43229
440	82955
440	327055
440	702269
440	774306
440	2169973
440	3332438
440	4287745
440	4830453
440	11974939
440	24229398
444	901
444	82955
444	165029
444	188094
444	327055
444	483501
444	702269
444	1391083
444	1650915
444	2500638
444	8359428
444	11499147
444	15253558
444	15319501
444	15627169
444	20826540
444	24229398
448	901
448	28389
448	28640
448	36180
448	37226
448	192581
448	201788
448	214917
448	327055
448	333634
448	482980
448	483501
448	702269
448	974144
448	1238570
448	1650915
448	1790480
448	2500638
448	3400985
448	4164507
448	4263842
448	4964182
448	6430706
448	6625963
448	6958747
448	11774202
448	14467526
448	14972848
448	15319501
448	15980158
448	16314361
448	16727193
448	17167049
448	20020377
448	20826540
448	24229398
448	30102337
449	36180
449	36834
449	49757
449	177220
449	327055
449	482980
449	483501
449	488205
449	639669
449	702269
449	753110
449	855091
449	1278335
449	2500638
449	2643890
449	24229398
464	901
464	11063
464	28640
464	37226
464	43845
464	169470
464	170790
464	192581
464	327055
464	483501
464	702269
464	974144
464	1622272
464	1650915
464	2500638
464	3400985
464	4359236
464	5428874
464	6958747
464	20826540
464	24229398
475	40348
475	82955
475	185351
475	327055
475	702269
475	24229398
489	28389
489	28640
489	33999
489	36180
489	43845
489	131524
489	192581
489	211236
489	245068
489	327055
489	482980
489	483501
489	702269
489	713200
489	947873
489	1885941
489	1930187
489	2500638
489	3282637
489	6958747
489	10798782
489	10800557
489	13235160
489	13590141
489	15980804
489	16961937
489	24229398
489	44508716
489	94498772
493	36180
493	43845
493	49757
493	215536
493	327055
493	482980
493	483501
493	702269
493	1415187
493	2500638
493	2873500
493	3704253
493	11900058
493	22813352
493	24229398
493	30093123
498	47064
498	82955
498	327055
498	702269
498	703534
498	1250916
498	1414937
498	24229398
501	36180
501	49757
501	327055
501	333634
501	482980
501	483501
501	702269
501	1650915
501	1790480
501	2500638
501	4164507
501	4263842
501	6430706
501	11774202
501	14467526
501	15980158
501	16727193
501	17167049
501	20020377
501	20826540
501	24229398
501	30102337
502	36180
502	327055
502	482980
502	483501
502	702269
502	864380
502	2500638
502	6625963
502	11774156
502	15980158
502	18814623
502	24229398
504	28389
504	28640
504	33231
504	36180
504	49757
504	192581
504	214917
504	327055
504	482980
504	483501
504	702269
504	1650915
504	1930187
504	2500638
504	3391743
504	4164507
504	4263842
504	6430706
504	6625963
504	6958747
504	11774202
504	15839299
504	15949613
504	15980158
504	15980804
504	16727193
504	17167049
504	20020377
504	20826540
504	24229398
512	28389
512	33999
512	36180
512	36834
512	49757
512	177220
512	327055
512	482980
512	483501
512	488205
512	639669
512	702269
512	713200
512	753110
512	822146
512	855091
512	1278335
512	2259451
512	2500638
512	2643890
512	10800557
512	12144794
512	24229398
517	116
517	28640
517	47064
517	48352
517	82955
517	189290
517	192581
517	294414
517	327055
517	372436
517	483501
517	702269
517	703534
517	1097498
517	1250916
517	1251441
517	1414937
517	2304859
517	3243461
517	4164871
517	6958747
517	10732476
517	24229398
517	61022630
529	901
529	18805
529	28640
529	37226
529	43845
529	192581
529	327055
529	483501
529	593644
529	702269
529	864503
529	974144
529	1622272
529	1650915
529	1781198
529	2500638
529	2919046
529	3400985
529	3779582
529	4359236
529	5428874
529	6958747
529	20826540
529	24229398
530	2066131
530	4144610
530	4270517
530	20965770
530	24229398
530	50995749
535	28389
535	36180
535	49757
535	82955
535	214917
535	327055
535	482980
535	483501
535	644687
535	702269
535	864380
535	2500638
535	3391743
535	6625963
535	8178443
535	11774156
535	11774202
535	15296811
535	15980158
535	18814623
535	22813352
535	24229398
539	36180
539	47064
539	82955
539	212948
539	327055
539	482980
539	483501
539	702269
539	703534
539	864380
539	1125062
539	1250916
539	1397808
539	1414937
539	2500638
539	3242115
539	4991371
539	11499147
539	15253558
539	15980158
539	18814623
539	24229398
555	28389
555	28640
555	33999
555	36180
555	192581
555	211236
555	327055
555	482980
555	483501
555	702269
555	947873
555	1642960
555	1885941
555	1930187
555	2500638
555	2722764
555	6958747
555	13590141
555	15980804
555	16961937
555	24229398
555	44508716
555	94498772
557	33231
557	36180
557	36834
557	49757
557	177220
557	327055
557	482980
557	483501
557	488205
557	639669
557	702269
557	753110
557	855091
557	1278335
557	1476215
557	2500638
557	2643890
557	3391743
557	11499147
557	15253558
557	15296811
557	24229398
558	33231
558	242468
558	327055
558	483501
558	702269
558	1294787
558	1391344
558	2500638
558	2588761
558	3391743
558	3501317
558	5322166
558	24229398
558	27943370
558	66035178
559	36180
559	39631
559	43229
559	202883
559	327055
559	482980
559	483501
559	702269
559	2169973
559	2500638
559	3332438
559	4287745
559	4830453
559	11974939
559	15980158
559	24229398
562	901
562	18805
562	177826
562	193391
562	212238
562	219477
562	327055
562	483501
562	572700
562	702269
562	703534
562	864503
562	978044
562	1162163
562	1251441
562	1294787
562	1391344
562	1650915
562	1781198
562	2259532
562	2374149
562	2462658
562	2500638
562	2588761
562	2873500
562	3140857
562	4504549
562	11900058
562	16532929
562	17573152
562	20826540
562	22813352
562	24229398
562	25713832
562	30093123
562	80363469
563	28389
563	33999
563	36180
563	36834
563	49757
563	177220
563	214917
563	327055
563	482980
563	483501
563	488205
563	639669
563	702269
563	713200
563	753110
563	822146
563	2259451
563	2500638
563	2643890
563	6625963
563	10800557
563	15949613
563	24229398
567	901
567	82955
567	169470
567	327055
567	372436
567	483501
567	593644
567	702269
567	1650915
567	2500638
567	20826540
567	24229398
576	43845
576	81096
576	82955
576	131524
576	327055
576	702269
576	13582652
576	24229398
579	28640
579	47064
579	82955
579	189290
579	192581
579	327055
579	702269
579	703534
579	1250916
579	1414937
579	4164871
579	6958747
579	24229398
579	61022630
590	28389
590	36180
590	47064
590	49757
590	214917
590	327055
590	482980
590	483501
590	702269
590	703534
590	1250916
590	1414937
590	2500638
590	24229398
600	2066131
600	4197743
600	10871364
600	18536342
600	24229398
600	50995749
