id	label	lang
1488	Robert Brasillach	en
1496	Ferdinand Magellan	en
1500	José Rizal	en
1503	Manuel L. Quezon	en
1511	Richard Wagner	en
1512	Robert Louis Stevenson	en
1514	Janis Joplin	en
1523	Ramesses II	en
1526	Ramesses I	en
1528	Ramesses III	en
1532	Ramesses IV	en
1541	Cicero	en
1544	Tony Garnier	en
1545	Cyndi Lauper	en
1585	Georg Simon Ohm	en
1589	Luigi Galvani	en
1604	Tim Lincecum	en
1615	Neil Armstrong	en
1618	Charles Lindbergh	en
1625	Sigfrid Edström	en
1628	David Cecil, 6th Marquess of Exeter	en
1631	Édith Piaf	en
1634	Adriaan Paulen	en
1638	Primo Nebiolo	en
1639	Lamine Diack	en
1646	Françoise Sagan	en
1651	Yohan Blake	en
1652	Justin Gatlin	en
1654	Warren Weir	en
1655	Kirani James	en
1656	Luguelín Santos	en
1657	Lalonde Gordon	en
1659	David Rudisha	en
1660	Nijel Amos	en
1662	Timothy Kitum	en
1665	Taoufik Makhloufi	en
1666	Jacques Brel	en
1668	Leonel Manzano	en
1669	Abdalaati Iguider	en
1671	Mo Farah	en
1672	Dejen Gebremeskel	en
1674	Tariku Bekele	en
1677	Ezekiel Kemboi	en
1679	Mahiedine Mekhissi-Benabbad	en
1681	Abel Mutai	en
1683	Aries Merritt	en
1685	Jason Richardson	en
1687	Hansle Parchment	en
1690	Félix Sánchez	en
1691	Javier Culson	en
1698	Serge Gainsbourg	en
1699	Nesta Carter	en
1702	Stephen Kiprotich	en
1704	Abel Kirui	en
1705	Wilson Kipsang Kiprotich	en
1708	Chen Ding	en
1712	Erick Barrondo	en
1716	Renaud	en
1717	Sergey Kirdyapkin	en
1728	Jared Tallent	en
1732	Ivan Ukhov	en
1736	Erik Kynard	en
1738	Robert Grabarz	en
1739	Mutaz Essa Barshim	en
1742	Renaud Lavillenie	en
1743	Björn Otto	en
1744	Madonna	en
1745	Greg Rutherford	en
1747	Mitchell Watt	en
1750	Will Claye	en
1751	Christian Taylor	en
1752	Macrinus	en
1753	Fabrizio Donato	en
1755	Tomasz Majewski	en
1758	David Storl	en
1760	Reese Hoffa	en
1762	Elagabalus	en
1766	Robert Harting	en
1768	Ella Fitzgerald	en
1769	Alexander Severus	en
1771	Ehsan Hadadi	en
1775	Brownie Mary	en
1776	Gerd Kanter	en
1777	Maximinus Thrax	en
1778	Krisztián Pars	en
1779	Louis Armstrong	en
1782	Gordian I	en
1783	Primož Kozmus	en
1784	Koji Murofushi	en
1785	Charles Aznavour	en
1786	Jan I Carondelet	en
1787	Keshorn Walcott	en
1788	Claude I Carondelet	en
1789	Ashton Eaton	en
1790	Kim Wilde	en
1791	Jan II Carondelet	en
1793	Trey Hardee	en
1796	Leonel Suárez	en
1797	Pupienus	en
1798	Ferry Carondelet	en
1802	Daniel Balavoine	en
1803	Gordian II	en
1804	Barbara	en
1805	Balbinus	en
1812	Gordian III	en
1817	Philip the Arab	en
1830	Decius	en
1835	Zinedine Zidane	en
1839	Laurent Blanc	en
1868	Paul Otlet	en
1878	Michael Schmidt-Salomon	en
1879	Corentin Martins	en
1883	Sabri Lamouchi	en
1885	Jürgen Locadia	en
1894	Memphis Depay	en
1907	Hugo Lloris	en
1908	Mathieu Debuchy	en
1909	Adil Rami	en
1910	Yohan Cabaye	en
1911	Olivier Giroud	en
1912	Karim Benzema	en
1913	Florent Malouda	en
1915	Laurent Koscielny	en
1916	Patrice Evra	en
1917	Philippe Mexès	en
1918	Franck Ribéry	en
1919	Mathieu Valbuena	en
1920	Samir Nasri	en
1921	Blaise Matuidi	en
1922	Anthony Réveillère	en
1923	Jérémy Ménez	en
1924	Steve Mandanda	en
1925	Yann M'Vila	en
1926	Alou Diarra	en
1927	Marvin Martin	en
1928	Hatem Ben Arfa	en
1929	Gaël Clichy	en
1931	Cédric Carrasso	en
1933	Anja Pärson	en
1934	Sidney Govou	en
1935	Eric Abidal	en
1936	Djibril Cissé	en
1937	William Gallas	en
1938	Bacary Sagna	en
1939	Nicolas Anelka	en
1940	André-Pierre Gignac	en
1942	Sébastien Squillaci	en
1943	Abou Diaby	en
1944	Jérémy Toulalan	en
1945	Benjamin Raich	en
1950	Alberto Tomba	en
1955	Gustav Thöni	en
1956	Hermann Maier	en
1958	Vreni Schneider	en
1962	Erika Hess	en
1984	Maria Walliser	en
1991	Michela Figini	en
1993	Masashi Kishimoto	en
2001	Stanley Kubrick	en
2006	Deborah Compagnoni	en
2010	Eiichiro Oda	en
2022	Cesare Pavese	en
2031	Marc Girardelli	en
2038	François Mitterrand	en
2039	Titus Livius	en
2040	Giuseppe Farina	en
2042	Charles de Gaulle	en
2054	Seneca	en
2069	Juan Manuel Fangio	en
2071	David Lynch	en
2072	Marcel Hirscher	en
2086	Alberto Ascari	en
2097	Kjetil André Aamodt	en
2098	Martial	en
2104	Mike Hawthorn	en
2105	Jacques Chirac	en
2116	Hans Schmidt	en
2124	Valéry Giscard d'Estaing	en
2125	Jack Brabham	en
2129	Bode Miller	en
2147	Giridharilal Kedia	en
2153	Subhash Chandra Bose	en
2161	Tacitus	en
2172	Lance Armstrong	en
2185	Georges Pompidou	en
2190	Coluche	en
2196	Pierre Desproges	en
2252	Buzz Aldrin	en
2253	Scipio Africanus	en
2259	Julia the Elder	en
2263	Tom Hanks	en
2274	Chet Baker	en
2291	Totò	en
2307	Scipio Aemilianus	en
2327	Emil Sayfutdinov	en
2330	Nicki Pedersen	en
2339	Robin van Persie	en
2492	Konrad Adenauer	en
2494	Benedict XVI	en
2496	Ludwig Erhard	en
2512	Kurt Georg Kiesinger	en
2514	Willy Brandt	en
2516	Helmut Schmidt	en
2518	Helmut Kohl	en
2530	Gerhard Schröder	en
2538	Joachim Gauck	en
2540	Christian Wulff	en
2542	Horst Köhler	en
2543	Mark Millar	en
2551	Johannes Rau	en
2563	Roman Herzog	en
2566	Isaac Brock	en
2567	Richard von Weizsäcker	en
2569	Karl Carstens	en
2570	John Romita Jr.	en
2571	Walter Scheel	en
2573	Gustav Heinemann	en
2582	Heinrich Lübke	en
2593	Matthew Vaughn	en
2594	Theodor Heuss	en
2597	Johanna Braddy	en
2599	Paul McCartney	en
2601	Manfred Gerlach	en
2602	Egon Krenz	en
2604	Pius XII	en
2607	Erich Honecker	en
2610	Willi Stoph	en
2628	Walter Ulbricht	en
2632	Ringo Starr	en
2643	George Harrison	en
2646	Friedrich Ebert	en
2655	John Franklin	en
2667	Paul von Hindenburg	en
2673	Chuck Norris	en
2677	Wilhelm II	en
2680	Bruce Willis	en
2685	Arnold Schwarzenegger	en
2709	Sasha Grey	en
2732	Norma Stitz	en
2737	Louis de Funès	en
2750	Bourvil	en
2754	Jaroslav Hašek	en
2757	Lech Kaczyński	en
2767	Daniel Morgan	en
2791	Geronimo	en
2808	Elton John	en
2831	Michael Jackson	en
2866	Alexander Lukashenko	en
2908	Antoine de Saint-Exupéry	en
2972	Sir John Barrow, 1st Baronet	en
2998	Amy Johnson	en
3008	Mike Oldfield	en
3034	Willoughby Newton	en
3036	Mack Wilberg	en
3044	Charlemagne	en
3048	Charles Maurras	en
3090	Guy Teissier	en
3095	Livia Ana Tătaru	en
3098	Georg Henrik Lybecker	en
3099	Francis van Bossuit	en
3101	Patrick Ricard	en
3102	Francis Coventry	en
3112	Phil Hill	en
3121	Geoffrey Dear	en
3128	Graham Hill	en
3137	Jim Clark	en
